FINAL_IRR,FOIR,AGE,AVG_OPENING_BAL_90D,VINTAGE_DAYS,AVERAGE_DEBITS_0_3MO,AVG_OPENING_BAL_0_3MO,AVERAGE_SELF_0_3MO,DIGITAL_D_TXN_COUNT,DIGITAL_D_TOTAL_AMOUNT,TOTAL_MEDICAL_SPEND_0_3MO,DR_FOREX_0_3MO,TOTAL_LOAN_COUNT,TOTAL_LOAN_COUNT_EXT,RETAIL_E_COMMERCE,FOOD_BEVERAGE,TECHNOLOGY_ELECTRONICS,UTILITIES_SERVICES,HEALTH_WELLNESS,TRAVEL_TOURISM,CASH_ATM,GROCERY,CARD_PAYMENT,WALLET,INSURANCE,POS,FASHION_APPAREL,BILL_PAYMENTS,AUTOPAY,SELF_AND_FAMILY_TRANSFER,DEPOSIT,INCOME_FROM_OTHER_SOURCES,TRAVELLER_TRANSACTION_COUNT,TRAVELLER_TOTAL_AMOUNT_1Y,SPENDS_TRANSACTION_COUNT_1Y,SPENDS_TRANSACTION_AMOUNT_1Y,AVG_BALANCE_PERCENTAGE,AVG_CC_PERCENTAGE,AVG_SELF_PERCENTAGE,AVG_LIFESTYLE_PERCENTAGE,CR_INV_MATURED_PERCENTAGE,CR_SELF_FAMILY_PERCENTAGE,CC_BILLPAYMENT_PERCENTAGE,ATM_WITHDRAWALS_PERCENTAGE,TOTAL_MEDICAL_SPEND_PERCENTAGE,AVG_DR_CR_RATIO_3M,AVG_SELF_DR_RATIO_3M,AVG_INV_DR_RATIO_3M,SPENDS_INCM_RATIO,TRAVEL_SPENDS_RATIO,MF_INCM_RATIO,RD_FD_INCM_RATIO,DEMAT_INCM_RATIO,SAVING_RATIO,CC_SPEND_TO_TOTAL_SPENDS,TOTAL_SPENDS_RATIO,MEDICAL_INCM_RATIO,FOREX_INCM_RATIO,AVG_INVSTMT_INCM_RATIO,NTB_TAG,EVER_TAKEN_TAG,EXTERNAL_LOAN_TAG,MULTIPLE_LOAN_TAG,DIGITAL_SAVVY_TAG,NON_DIGITAL_TAG,TOP100_CORPS_TAG,RECENT_PURCH_PL_TAG,ABT_TO_MATURE_TAG,PL_RECENT_CLOSED_TAG,LOW_INCOME_HIGH_SPENDS,RURAL_BORROWERS_TAG,METRO_DEBTORS,HIGH_OBLIGATIONS,YOUNG_URBAN_SPENDERS,HIGH_ON_CC,HIGH_BUREAU,Digital_Engaged_0_6M,Digital_Auth_0_6M,log_OFFER_AMT,log_FINAL_SALARY,log_AVERAGE_CREDITS_0_3MO,log_AVERAGE_EMI_0_3MO,log_AVERAGE_INVESTMENT_0_3MO,log_NOT_SALARY_CREDITS_0_3MO,log_TOTAL_LOAN_AMT,log_TOTAL_LOAN_AMT_EXT,log_TOTAL_EMI_COUNT,log_TOTAL_EMI_AMT,log_CREDIT_CARD,log_INVESTMENTS,log_INVESTMENT_MATURITY,log_AVG_INVESTMENT_PERCENTAGE,log_MER_EMI_OFFUS_LOAN_EMI_PERCENTAGE,log_AVG_EMI_DR_RATIO_3M,log_CCAMT_LIMIT_RATIO,log_INVESTMENT_INCOME_RATIO,log_FD_TO_INVESTMENT_PER_YEAR_RATIO,log_CC_SPENDS_MAX_CREDIT_RATIO,log_AVG_EMI_INCM_RATIO,log_PREMIUM_CUST_TAG,Response
22.0,25.32532247,35,48653.82,459,89396.43403,83977.45,0.0,1048,1030089.982,2.265932248,0.0,0,0,19348.53015,30686.30103,4029.13247,10131.27092,4481.605157,8431.314381,22614.46164,2068.033846,0.0,14965.68345,0.0,-86.61692677,2482.74649,12.88231226,0.0,7968.566369,0.0,0.0,11,5781.942563,1009,811027.3212,114.8237,15.93673,124.488912,5.36586871,177.3213161,-99.99987839,9.01104882,-59.67596314,0.00254126,726.3145469,0.0,10.80395581,368.4505983,0.003641125,0.0,117.8387772,0.0,-0.882346027,0.000571832,1.777945618,0.0,9.92e-05,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.51293546492023,9.85923095087471,11.51539773937981,0.0,10.150186687048206,11.099519420266864,11.799619873342378,0.0,0.0,0.0,0.0,0.6931471805599453,8.054187142537556,3.1197342200803044,1.8020699662367081,0.0,0.0,0.04578288397463876,0.0,0.0,0.5311218586296729,0.0,0
17.98999977,35.38431756,44,38956.7,2400,31704.63692,7436.63,0.0,82,606046.4694,0.0,0.0,0,3,241.8584635,304.2951897,142.5553487,0.0,25.63803139,28675.7731,388.3058765,0.0,52.60952612,315.35957,0.0,-8.421519934,0.0,238.8042449,638.7961332,336137.2751,890.2788977,0.0,6,42030.04452,106,234938.0918,23.448,-12.153848,137.3310949,1.477005107,61.81264474,67.2956708,-71.08319108,-0.632533976,-0.006624501,0.0,0.012844928,0.018639751,0.0,0.031202553,32.82588867,13.93536923,0.0,0.183742223,0.331746577,0.730714839,0.412907099,0.0,609.8449396,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.225256725762893,4.269545610480663,10.851413272022546,0.0,0.0,10.6015335435562,0.0,16.26454487052629,0.0,10.500997463103586,0.0,0.0,0.0,5.356987786508176,0.0,8.679623309797648e-05,1.0371601166514448,0.0,0.8144442272855231,0.9733398801670634,0.0,0.0,0
22.0,5.985063249,33,19710.41,3279,689407.7996,28382.92,0.0,1011,5624151.062,0.0,0.901714108,0,1,65631.38726,40568.13128,5986.051694,10414.00965,30441.41804,8878.955366,601.2183353,2558.372926,61.14738015,64212.26899,37.50358819,43.1227589,8020.222966,106.1673103,1010.591937,1094850.388,1169.086899,0.0,15,27609.90594,1193,4884446.659,-11.2749,-99.999995,-77.5699374,-11.03621264,1715.40406,69.51982441,-9.189373508,-0.393658118,-0.004949393,0.0,0.003132382,0.004929615,249.9148782,0.00135268,0.0,0.0,0.98801874,-9.903584862,0.0,5.09987528,0.0,0.000260452,1439.099167,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11.225256725762893,8.975294467347016,12.97411508473463,0.5448904918248255,4.499140806802031,14.195647074440261,14.621703594553079,9.057876460571535,0.0,7.645514982364207,0.0,0.0,9.433905612766885,0.0,1.9863685574861563,0.0,0.021431997191020093,0.004497402507067284,0.0,0.010441542862060116,0.0,0.0,0
22.0,73.3955631,38,7196.29,1923,184611.7532,12111.15,5159.173591,767,514710.9838,0.0,0.0,0,0,58356.04275,27150.90314,4667.228759,5836.578681,8667.755332,85104.43232,11021.98355,3561.10241,0.0,78279.30729,26.78241382,63.59444795,3848.681813,113.2229221,805.6173335,275616.8907,951.990341,0.0,26,133435.4404,952,48674.66945,52.0025,-61.209631,-79.31163808,-21.84772815,1630.758444,-76.44449283,15.15242196,0.392933866,-0.002084198,0.0,11.58531078,0.000506514,269.987474,0.102994899,0.0,47.99788129,4.761876225,-1.608122404,0.0,1.899913251,0.0,0.000161443,492.5860303,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.225256725762893,9.432294227082421,11.898593495046816,0.0,0.0,12.081680614559556,0.0,10.503493552735835,0.0,0.0,0.0,0.0,0.0,4.0429208945994874,0.0,0.0,0.0,0.0,0.0,0.0,0.19310301081542183,0.0,0
17.98999977,-4.267976142,46,20621.21,5079,0.0,31775.89,0.0,46,204299.7731,0.0,0.2484123,0,0,0.0,253.2012822,156.958794,0.0,0.0,0.0,563.4327828,64.15896051,0.0,0.0,0.0,-65.09592118,7.663121228,0.0,0.0,0.0,0.0,0.0,2,0.0,20,6867.581271,49.6889,-99.999995,-99.9999881,-4.301910626,-99.99999935,-99.99987839,55.46000504,0.307587395,0.004165755,0.0,0.0,0.000202589,0.0,0.04815031,0.0,95.68482129,39.83675634,0.684169376,0.567329561,0.391193937,0.0,0.000105355,1390.292065,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,11.225256725762893,9.12343117994731,10.223888398795042,0.5537919939484436,0.0,8.694873814718653,13.601041673199301,0.0,0.0,6.763586381097615,0.0,0.0,0.0,5.491047323770221,0.0,0.0001794169038246834,0.9109358866473644,0.006640565558441807,1.6835667102566807,0.9285833751921877,0.679549772387994,0.0,0
17.98999977,173.4820524,38,5484.78,1316,5578.938025,10327.35,0.538814828,285,367134.985,0.725950144,0.230807589,0,0,0.0,306.5959016,516.6017529,1.363662729,0.0,55.51449376,0.0,73.05991603,17.34676939,2594.366357,0.0,42.24296857,22.53054156,0.0,1408.986678,45675.05616,403.7197548,0.0,0,0.0,136,228101.7191,68.1108,56.203236,22.12678087,-15.99097259,-99.99999935,-99.99987839,-15.09867339,-0.033958685,-0.009493096,923.8027554,0.014025891,0.0,312.6050342,0.000299976,57.46036933,0.0,4.399926393,0.473086731,0.086331582,0.452133085,0.213893504,0.000103569,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.225256725762893,8.58998331096927,9.500441939836914,0.0,4.68913025354769,0.0,13.013452628452951,9.39651256969402,0.0,7.832227666842623,0.0,0.0,8.70770336594647,0.0,1.8917242540769248,0.0,0.19722116101711537,0.0,0.0,0.2036228840075759,0.8246525607065237,0.0,0
17.98999977,-62.25340578,35,21442.0,4403,10881.54537,14156.94,0.0,76,855194.3297,2918.990918,0.0,0,0,0.0,236.728888,0.0,0.0,0.0,0.0,29407.6557,42.52143758,20.75429883,19427.85679,48.66977103,-24.19678748,89.99246186,1.952449366,0.0,0.0,270.8563295,0.0,0,0.0,177,793759.5922,-194.3291,-85.705396,183.2008649,17.73960188,13461.71488,475.2858309,-93.5768845,-0.450859473,-0.000494774,0.0,0.00291962,0.008142273,0.0,0.000567175,113.8201559,46.58364273,0.0,0.914156209,0.11372636,1.337733228,0.033380787,0.00017831,1509.274379,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11.225256725762893,10.992021317074663,8.50580469881204,0.4195574200591373,0.0,11.970322827454192,13.251717475846648,9.240067830868181,0.0,7.594024775401397,0.0,0.0,0.0,4.539246937384485,0.0,0.0,0.493458043267476,0.0,0.0,0.49501467040064273,0.0,0.0,0
22.0,44.63453584,30,144062.55,902,11027.39522,39416.41,2.470616238,587,600482.6563,0.854610968,0.215957253,0,0,6173.190801,24854.64349,2820.028447,1502.991451,9164.923501,66948.59958,7396.569424,3240.509859,57.69997279,26131.50642,0.0,76.819064,3340.488005,207.7877449,1696.845612,87645.1824,1030.866052,28.89752149,16,67033.08352,635,82255.29105,-47.5698,50.177838,-87.89225979,-0.935448098,-99.99999935,-99.99987839,44.0201761,-1.067595979,0.01052652,497.1950799,0.007300512,0.013496917,320.3068286,0.129837576,0.0,0.0,3.438265544,1.0,0.0,1.333840219,0.064942603,0.0,4611.547239,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11.51293546492023,9.917138260718756,8.68875329593697,0.2925521040737288,0.0,11.389192318876507,0.0,7.859249094132139,0.0,0.0,0.0,0.0,9.534097855483258,5.246835078512838,1.9739310147708846,0.0,0.0,0.002309082016984094,0.0,0.0,0.0,0.0,0
17.98999977,10.60664975,27,5342.65,1955,1362.153466,5750.43,44.5642932,207,726752.8754,0.902581101,0.0,0,0,1493.347649,127.2030258,661.9896254,2289.629024,85.26714934,87.73586436,58.55045682,0.0,0.0,21829.85831,0.0,-5.402515215,77.45920157,0.0,0.0,100819.5996,1560.710636,0.0,0,368.0635604,170,249314.004,-58.476,-15.922438,62.45070207,-10.81586595,-99.99999935,-23.87636147,55.02162237,0.382010774,-0.017081186,1247.929801,0.003542858,0.017511417,337.3381632,0.000257906,0.0,8.622886325,0.0,0.414878319,0.065255113,0.461975866,0.078197091,7.37e-05,2183.663616,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11.225256725762893,9.732601784340643,6.02082191838406,0.0,4.353721719981674,10.762548275395696,0.0,8.598548890400842,0.0,8.356719251148965,0.0,0.0,0.0,5.581833545201328,0.0,2.859959102779772e-05,0.49378560965352264,0.0,1.489921026978504,0.47912974428872906,0.7045510989970657,0.0,0
17.98999977,13.41993503,39,7475.94,4827,97749.97977,32721.55,79.77072204,99,535578.2366,0.0,0.0,0,0,271.0669941,331.2867118,529.0619425,0.0,139.4289791,0.0,63495.92417,28.63104008,43.62764328,0.0,48.20392671,55.32739983,49.26260387,103.5878891,1509.059989,389303.7146,2037.303661,0.0,0,161.0596967,87,539582.9023,-49.0281,-28.124231,165.9401393,8.877946814,2751.808121,36.62859771,91.39959419,1.036530365,-0.004418222,355.2254257,0.000530272,0.0,0.0,0.000531068,95.5818347,0.0,0.0,0.756381771,0.145778023,0.310014422,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,11.225256725762893,6.001918999880241,11.488198343316926,0.03987200582385028,0.0,11.642633269991467,14.270411490329957,8.990913468860464,0.0,7.397033293700472,0.0,0.0,8.098182984544934,5.139245791032607,0.0,0.0,0.687827634328938,0.07668991734835855,0.006089079868467771,0.7014955685915543,1.0476613398841415,0.0,0
